f_star: 1779.46  	 Temperatura: 80.00
f_star: 1772.05  	 Temperatura: 80.00
f_star: 1757.09  	 Temperatura: 80.00
f_star: 1687.62  	 Temperatura: 80.00
f_star: 1659.52  	 Temperatura: 80.00
f_star: 1597.02  	 Temperatura: 80.00
f_star: 1591.97  	 Temperatura: 80.00
f_star: 1576.39  	 Temperatura: 80.00
f_star: 1561.01  	 Temperatura: 80.00
f_star: 1540.27  	 Temperatura: 80.00
f_star: 1511.66  	 Temperatura: 80.00
f_star: 1471.55  	 Temperatura: 80.00
f_star: 1467.30  	 Temperatura: 80.00
f_star: 1464.06  	 Temperatura: 80.00
f_star: 1418.92  	 Temperatura: 80.00
f_star: 1408.06  	 Temperatura: 80.00
f_star: 1375.89  	 Temperatura: 80.00
f_star: 1326.37  	 Temperatura: 80.00
f_star: 1274.61  	 Temperatura: 80.00
f_star: 1260.77  	 Temperatura: 76.00
f_star: 1259.60  	 Temperatura: 61.90
f_star: 1250.21  	 Temperatura: 43.23
f_star: 1246.19  	 Temperatura: 41.07
f_star: 1236.32  	 Temperatura: 41.07
f_star: 1224.81  	 Temperatura: 41.07
f_star: 1210.00  	 Temperatura: 41.07
f_star: 1198.86  	 Temperatura: 41.07
f_star: 1187.09  	 Temperatura: 41.07
f_star: 1180.81  	 Temperatura: 41.07
f_star: 1165.11  	 Temperatura: 41.07
f_star: 1163.00  	 Temperatura: 41.07
f_star: 1149.77  	 Temperatura: 41.07
f_star: 1147.59  	 Temperatura: 41.07
f_star: 1138.33  	 Temperatura: 28.68
f_star: 1112.00  	 Temperatura: 24.59
f_star: 1088.03  	 Temperatura: 24.59
f_star: 1082.28  	 Temperatura: 24.59
f_star: 1080.76  	 Temperatura: 23.36
f_star: 1079.65  	 Temperatura: 23.36
f_star: 1076.76  	 Temperatura: 23.36
f_star: 1073.95  	 Temperatura: 23.36
f_star: 1047.46  	 Temperatura: 23.36
f_star: 1044.27  	 Temperatura: 22.19
f_star: 1018.61  	 Temperatura: 22.19
f_star: 1006.10  	 Temperatura: 17.17
f_star: 1001.60  	 Temperatura: 17.17
f_star: 981.50  	 Temperatura: 14.72
f_star: 971.74  	 Temperatura: 14.72
f_star: 968.55  	 Temperatura: 14.72
f_star: 955.33  	 Temperatura: 12.62
f_star: 954.76  	 Temperatura: 11.99
f_star: 947.63  	 Temperatura: 11.99
f_star: 946.76  	 Temperatura: 11.99
f_star: 943.28  	 Temperatura: 9.28
f_star: 942.88  	 Temperatura: 9.28
f_star: 936.22  	 Temperatura: 9.28
f_star: 931.65  	 Temperatura: 9.28
f_star: 917.08  	 Temperatura: 9.28
f_star: 905.74  	 Temperatura: 9.28
f_star: 903.52  	 Temperatura: 8.81
f_star: 892.75  	 Temperatura: 8.81
f_star: 884.29  	 Temperatura: 8.81
f_star: 878.87  	 Temperatura: 8.81
f_star: 865.38  	 Temperatura: 8.81
f_star: 843.66  	 Temperatura: 8.81
f_star: 837.82  	 Temperatura: 8.81
f_star: 807.49  	 Temperatura: 8.37
f_star: 788.85  	 Temperatura: 8.37
f_star: 786.18  	 Temperatura: 8.37
f_star: 775.96  	 Temperatura: 8.37
f_star: 773.33  	 Temperatura: 8.37
f_star: 744.58  	 Temperatura: 8.37
f_star: 721.12  	 Temperatura: 8.37
f_star: 718.25  	 Temperatura: 8.37
f_star: 705.09  	 Temperatura: 8.37
f_star: 703.40  	 Temperatura: 8.37
f_star: 697.39  	 Temperatura: 6.16
f_star: 683.52  	 Temperatura: 6.16
f_star: 682.90  	 Temperatura: 6.16
f_star: 670.39  	 Temperatura: 5.85
f_star: 663.94  	 Temperatura: 5.85
f_star: 662.51  	 Temperatura: 5.56
f_star: 650.26  	 Temperatura: 5.56
f_star: 648.15  	 Temperatura: 5.56
f_star: 643.13  	 Temperatura: 5.56
f_star: 638.71  	 Temperatura: 5.56
f_star: 638.38  	 Temperatura: 5.56
f_star: 633.39  	 Temperatura: 5.56
f_star: 629.05  	 Temperatura: 3.50
f_star: 621.17  	 Temperatura: 3.50
f_star: 619.26  	 Temperatura: 3.50
f_star: 618.74  	 Temperatura: 3.50
f_star: 617.72  	 Temperatura: 2.85
f_star: 608.68  	 Temperatura: 2.85
f_star: 607.78  	 Temperatura: 2.85
f_star: 590.60  	 Temperatura: 2.71
f_star: 584.00  	 Temperatura: 2.71
f_star: 576.24  	 Temperatura: 2.45
f_star: 573.44  	 Temperatura: 2.45
f_star: 572.36  	 Temperatura: 2.10
f_star: 570.93  	 Temperatura: 2.10
f_star: 566.14  	 Temperatura: 2.10
f_star: 564.93  	 Temperatura: 2.10
f_star: 564.04  	 Temperatura: 1.99
f_star: 563.84  	 Temperatura: 1.99
f_star: 563.09  	 Temperatura: 1.89
f_star: 562.73  	 Temperatura: 1.89
f_star: 562.27  	 Temperatura: 1.71
f_star: 557.98  	 Temperatura: 1.71
f_star: 556.32  	 Temperatura: 1.71
f_star: 555.74  	 Temperatura: 1.62
f_star: 553.06  	 Temperatura: 1.54
f_star: 548.46  	 Temperatura: 1.54
f_star: 546.39  	 Temperatura: 1.54
f_star: 546.37  	 Temperatura: 1.46
f_star: 545.78  	 Temperatura: 1.32
f_star: 544.97  	 Temperatura: 1.13
f_star: 542.92  	 Temperatura: 1.13
f_star: 539.71  	 Temperatura: 1.13
f_star: 538.54  	 Temperatura: 1.13
f_star: 538.52  	 Temperatura: 1.08
f_star: 537.36  	 Temperatura: 1.08
f_star: 536.17  	 Temperatura: 1.08
f_star: 535.31  	 Temperatura: 1.02
f_star: 523.85  	 Temperatura: 0.97
f_star: 523.67  	 Temperatura: 0.97
f_star: 515.44  	 Temperatura: 0.97
f_star: 515.26  	 Temperatura: 0.68
f_star: 513.17  	 Temperatura: 0.64
f_star: 511.45  	 Temperatura: 0.47
f_star: 510.53  	 Temperatura: 0.45
